,Cultivo,Codigo,Toneladas
1,Sugar cane,156,"12,038,562"
2,Sugar Crops Primary,1723,"12,038,562"
3,"Hen eggs in shell, fresh",1062,"10,171,831"
4,"Roots and Tubers, Total",1720,"8,575,501"
5,Fruit Primary,1738,"8,152,465"
6,Potatoes,116,"6,579,754"
7,"Cereals, primary",1717,"5,923,491"
8,Rice,27,"3,640,432"
9,Vegetables Primary,1735,"3,167,860"
10,"Meat, Total",1765,"2,389,930"
11,Bananas,486,"2,343,311"
12,"Milk, Total",1780,"2,249,192"
13,Raw milk of cattle,882,"2,228,889"
14,"Meat, Poultry",1808,"1,895,781"
15,"Meat of chickens, fresh or chilled",1058,"1,859,238"
16,"Citrus Fruit, Total",1804,"1,727,711"
17,Maize (corn),56,"1,686,077"
18,Oil palm fruit,254,"1,469,057"
19,"Cassava, fresh",125,"1,425,272"
20,Grapes,560,"948,131"
21,Avocados,572,"919,602"
22,"Tangerines, mandarins, clementines",495,"651,353"
23,"Onions and shallots, dry (excluding dehydrated)",403,"592,516"
24,Pineapples,574,"585,409"
25,Oranges,490,"555,014"
26,"Hen eggs in shell, fresh",1062,"508,592"
27,Eggs Primary,1783,"508,592"
28,Green corn (maize),446,"467,270"
29,Lemons and limes,497,"419,068"
30,"Coffee, green",656,"358,994"
